,predicted_labels,optimal_length,ARI
SemgHandGenderCh2_1,"[1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1
 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 0 0
 1 1 1 1 0 1 0 0 1 1 1 1 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 1 1 1 0 1 0 0 0 1
 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1
 1 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0
 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0
 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1
 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 0 1
 0 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 0 0 1 1 1 1 1
 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1
 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 0
 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1
 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1
 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
 1 1 1 1 0 1 1 1 0 1 1 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 1 0 1 1 1 1 1 1 0 1 1
 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1
 1 1 1 1 0 1 0 1 1 0 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1
 1 1 0 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0
 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1
 0 0 0 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
 1 1 1 1 1 1 1 1 0 0 1 0]",,-0.007032505
SemgHandMovementCh2_1,"[3 3 2 2 2 0 1 0 2 0 2 0 2 1 4 2 2 0 0 1 0 2 0 3 2 0 2 0 3 2 4 3 3 2 0 4 0
 1 2 0 2 4 2 1 2 3 0 0 0 2 0 3 2 2 4 3 3 0 3 0 2 2 0 2 0 0 3 1 3 2 0 2 2 0
 0 2 1 1 3 3 0 4 0 0 3 0 3 3 3 0 4 1 3 1 1 1 4 1 3 1 1 0 1 1 1 4 3 0 4 1 1
 0 1 3 2 0 3 3 0 4 3 1 0 0 3 1 1 3 1 5 4 4 3 1 1 1 3 1 0 4 0 0 3 3 3 2 1 4
 1 1 0 3 0 3 3 3 3 0 0 3 3 3 3 0 3 3 3 0 0 0 3 2 3 2 0 0 0 3 0 0 3 0 0 0 3
 0 0 3 3 0 0 0 3 3 3 0 3 0 0 3 0 0 2 1 3 3 0 3 0 0 3 3 0 3 0 0 0 3 0 0 3 3
 0 3 3 0 2 3 2 3 3 3 0 0 0 3 3 0 3 3 0 3 3 3 0 2 3 3 0 3 3 1 3 0 3 0 3 3 0
 3 0 0 0 3 0 3 3 0 0 3 0 0 0 0 3 0 3 1 0 0 3 0 3 3 3 0 0 3 2 0 0 2 3 0 3 3
 3 3 2 0 0 5 3 3 2 3 3 3 3 3 1 5 4 0 4 3 3 1 3 1 0 1 4 4 4 5 2 5 4 4 2 4 3
 5 5 3 4 5 3 5 4 4 1 2 3 5 4 5 4 5 2 1 4 5 1 3 1 2 5 4 5 2 1 5 4 4 1 4 4 1
 4 2 5 2 3 3 0 3 0 1 0 0 1 1 2 1 0 0 0 0 3 3 1 3 3 3 3 3 0 0 1 0 1 0 0 3 3
 3 1 3 0 0 2 0 0 1 3 3 3 3 0 3 0 1 0 3 3 1 0 1 3 0 0 1 0 1 1 0 3 3 3 0 0 3
 0 3 1 3 2 1 0 1 2 0 2 2 2 1 4 0 0 2 1 2 1 2 4 2 1 4 0 0 3 0 3 0 2 0 2 2 3
 0 1 2 2 1 3 0 0 1 1 0 2 4 0 2 2 2 3 0 2 0 2 3 0 2 1 0 0 1 1 4 1 4 2 2 2 1
 4 0 2 0 2 2 2 3 1 1 1 0 0 0 3 1 1 3 1 1 3 0 3 0 3 0 1 1 4 1 3 1 3 3 2 3 3
 0 1 1 2 1 3 3 3 0 1 4 1 3 1 1 3 1 0 0 1 1 1 0 1 4 3 3 0 0 4 1 1 1 1 3 3 1
 1 0 3 0 3 1 3 3 0 0 3 3 0 0 3 0 0 3 0 3 0 3 0 0 0 0 3 0 0 0 2 0 3 0 3 0 3
 3 3 0 0 0 3 3 3 0 3 0 2 0 0 3 0 3 0 2 3 0 3 3 0 3 3 0 0 0 3 0 3 0 0 0 0 3
 3 3 0 0 0 0 0 0 0 3 2 3 3 0 0 3 3 0 0 3 2 3 3 0 0 2 3 3 0 0 2 0 0 0 2 0 0
 3 1 3 0 0 0 0 3 3 3 0 0 2 3 3 3 0 0 3 3 0 3 0 2 0 3 3 3 0 3 3 3 3 3 0 0 3
 2 0 3 0 0 0 0 3 0 0 4 2 3 3 5 2 3 3 2 4 5 1 3 4 1 2 5 0 4 4 5 1 2 0 4 1 4
 5 0 2 2 3 1 2 1 0 2 3 2 2 2 2 0 1 2 3 3 4 5 3 5 1 1 4 0 5 1 0 2 0 0 4 4 4
 5 5 1 5 2 5 1 3 1 2 1 0 3 0 0 1 0 3 0 3 0 3 0 0 0 0 0 0 3 3 3 0 1 3 3 0 1
 0 0 0 1 3 0 3 0 1 0 0 3 1 0 0 0 3 0 3 3 0 1 0 0 0 0 3 3 0 3 0 0 0 0 3 3 1
 3 3 3 3 3 0 0 3 1 0 0 4]",,0.07433218532403242
SemgHandSubjectCh2_1,"[2 0 3 0 3 0 3 3 3 3 0 3 2 3 3 3 3 0 0 0 0 0 0 3 3 3 0 0 3 3 0 3 3 0 3 3 0
 3 0 3 3 0 0 3 0 0 2 2 3 3 3 0 2 0 0 0 3 0 3 3 0 0 3 0 3 2 3 3 3 3 0 0 0 3
 3 3 0 3 3 3 0 0 3 0 3 0 2 0 0 3 0 4 1 0 0 0 0 0 1 1 0 3 3 1 4 1 3 1 0 1 4
 1 3 2 2 4 1 0 4 1 3 4 4 1 1 3 0 4 0 4 1 0 2 0 4 3 3 0 3 0 3 3 1 4 0 3 0 0
 1 1 0 1 1 3 0 0 0 0 3 3 2 4 4 1 0 4 0 4 2 3 1 2 2 4 1 1 1 2 4 3 0 4 0 0 3
 2 0 3 0 2 3 2 2 3 2 0 2 3 0 2 4 3 0 3 3 0 2 2 0 3 0 0 2 0 0 0 4 4 3 2 2 0
 2 4 4 3 4 4 2 3 2 3 0 2 4 0 2 0 4 4 0 2 0 3 3 2 2 3 4 0 3 2 3 0 4 4 0 0 3
 2 2 0 0 4 2 0 2 0 0 0 3 2 3 0 0 2 0 1 3 3 3 3 0 3 3 1 3 0 0 0 3 0 0 3 1 0
 0 2 2 3 0 3 3 1 4 3 3 0 0 4 1 2 3 3 1 3 0 3 3 2 2 3 1 0 3 3 3 3 1 2 3 3 3
 3 3 4 1 3 3 1 1 3 2 2 0 3 0 1 0 0 3 3 0 3 3 3 0 0 2 0 2 2 2 3 1 0 0 0 1 1
 2 1 3 1 1 1 1 2 1 0 1 1 0 0 1 1 3 0 0 0 3 0 0 0 0 0 0 0 2 2 2 2 3 1 0 2 1
 0 0 2 3 0 0 1 0 0 0 0 3 0 3 0 0 0 3 1 2 3 2 0 1 2 2 1 3 0 3 0 2 0 2 1 0 1
 1 0 2 1 2 2 3 3 3 2 3 0 0 3 0 3 3 0 3 0 3 0 0 0 0 3 3 0 3 0 0 0 3 3 0 0 2
 3 0 3 0 3 2 3 3 3 0 3 3 0 2 0 0 3 3 3 3 0 2 0 3 0 3 3 0 3 3 0 0 3 0 2 0 3
 3 0 0 3 3 3 3 3 3 0 0 3 3 3 0 0 2 0 3 0 3 3 2 2 1 0 4 3 2 1 0 3 3 1 1 4 3
 2 1 3 1 1 0 4 0 0 0 2 4 3 2 1 0 3 1 2 2 1 3 0 2 1 0 0 0 0 0 3 0 0 4 3 3 4
 3 1 0 3 3 4 0 3 0 0 3 3 4 0 0 2 2 3 1 4 1 4 2 1 1 1 4 1 0 1 2 4 1 0 0 3 0
 0 3 2 0 0 4 0 0 2 0 0 3 2 2 4 3 0 4 2 0 0 0 4 0 0 3 4 0 0 2 0 0 4 2 2 3 2
 0 2 0 3 2 0 3 2 2 2 0 0 0 0 0 0 0 3 4 0 3 2 0 0 4 2 2 2 3 2 0 0 0 2 0 3 0
 4 4 4 4 2 0 3 3 2 2 2 0 0 2 2 2 0 1 0 3 0 3 1 0 3 2 2 3 2 3 2 1 3 1 0 3 2
 3 3 3 0 0 1 0 1 0 1 2 0 3 0 2 0 2 3 3 2 2 3 2 3 1 2 2 1 0 2 0 3 0 2 2 1 0
 0 2 3 1 0 3 3 0 0 1 0 3 4 0 3 4 0 1 2 2 0 3 3 3 3 0 3 2 3 0 0 3 2 2 3 1 1
 0 0 0 2 3 0 0 2 0 1 3 1 2 2 0 2 3 0 2 2 1 3 2 0 0 1 2 0 4 0 1 2 3 2 0 0 2
 1 0 0 0 1 2 2 0 0 0 0 3 1 1 1 2 0 2 2 2 1 0 1 3 1 3 1 0 2 3 0 1 0 0 0 1 0
 2 2 2 1 2 3 0 1 0 1 2 4]",,0.049059029157698726
ShapeletSim_1,"[0 1 1 1 0 1 1 1 1 0 0 0 1 0 0 1 1 0 1 0 1 1 1 0 1 1 1 0 1 0 0 1 1 1 1 1 0
 0 1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1 1 1 1 1 1 0 0 1 0 1
 0 1 1 0 1 1 1 0 0 0 1 0 1 0 1 1 1 0 0 1 1 0 1 1 1 1 1 0 0 0 1 1 0 0 0 1 0
 1 0 1 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1 0 0 0 1 0 1 0 1 1 1 0 1 1 0 0 1 0 1 1
 1 1 1 1 0 0 1 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 1 0 1 1 1 1 0
 1 1 0 1 0 1 0 1 1 1 1 0 1 0 0]",,-1.21E-05
ShapesAll_1,[50 50 50 ... 45 36 58],,0.39588150154573837
SmallKitchenAppliances_1,"[2 0 2 2 2 2 2 2 2 2 0 2 2 2 2 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 0 0
 0 1 0 2 2 2 0 2 2 2 2 2 2 0 2 2 2 2 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 0 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 1 0 1 2 2 0 2 2 1 2 2 2 1 2
 2 2 2 2 0 0 0 0 2 2 2 2 2 2 1 1 2 1 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 2 0 0 0 1 1 1 1 1 0 0 0 0 2 1 2 2 1 1 0 0 1 1 1 1 1 1 1 1 1 2 1 1 2
 0 0 0 0 0 2 1 0 1 1 1 1 1 1 1 2 2 2 2 2 1 1 2 2 1 1 0 0 1 0 1 2 1 1 2 1 1
 1 1 1 0 0 0 0 0 1 0 0 2 1 2 2 1 1 2 2 1 1 1 1 1 1 1 2 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 1 2 1 1 2 1 0 2 0 0 2 0 0 0 0
 0 0 0 0 2 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 1 2 2 0 0 0 0 2 0 0 1
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 0 2 0 2 0 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 1 0 2 0 2 2 0 2 2 2 2 2 2 0 0 2 2
 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 2 2 2 2 2 2 2 0 0 2 2 2 2 2 2 2
 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1
 1 1 2 2 2 1 0 1 0 0 0 1 1 2 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 0 0 0 0 1 1 1 1 1 2 2 1 2 2 1 1 1 1 1 0 0 0 0 0 1 2 2 2 1 0 0 1 0 0 1 1
 1 1 1 2 2 2 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 2 0 0 0
 0 0 0 0 2 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1]",,0.38535675996316715
SmoothSubspace_1,"[1 2 1 1 1 2 2 1 1 2 0 1 1 1 1 0 2 2 2 0 2 1 1 2 0 0 0 2 1 2 2 1 1 1 1 2 2
 1 2 1 1 2 1 0 2 1 1 2 2 1 2 2 2 1 2 1 1 2 2 2 2 1 2 1 2 0 2 2 2 2 2 0 0 0
 2 2 2 1 2 2 2 2 0 2 2 2 2 2 2 2 2 1 2 1 2 2 2 2 2 2 2 1 0 2 0 0 0 2 1 2 0
 0 0 2 2 0 2 2 0 0 1 2 2 2 0 0 0 0 2 2 1 2 0 0 0 0 0 2 2 1 2 2 0 2 0 2 0 0
 0 0 1 1 2 2 0 2 2 2 2 0 1 1 1 2 2 1 1 1 2 2 1 2 2 2 1 2 1 2 1 0 2 1 1 2 1
 1 0 2 1 1 1 1 1 1 2 0 1 1 0 2 0 2 1 2 1 2 1 2 2 2 1 2 2 2 1 2 1 2 2 2 1 2
 2 1 0 2 2 2 1 2 2 2 2 2 2 1 2 1 2 2 2 2 1 2 2 2 2 2 2 1 1 2 0 1 0 2 0 0 0
 2 1 0 2 0 0 0 2 2 2 0 0 0 0 2 1 2 2 2 2 0 2 2 2 0 1 2 2 1 2 0 0 0 0 1 2 0
 2 2 1 0]",,0.1027995419498863
SonyAIBORobotSurface1_1,"[0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 0 1 1 0 0 0 1 1 0 0 1 0
 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 1 1 1 0 1 0 0 1 0 0 1 1 0 0 0 1 0 0 0 1
 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 1 0 0 0 0 0
 1 0 1 0 0 1 1 0 0 1 1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 1 1 0 1 1 0 0 1 0
 1 1 1 1 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1
 0 1 0 1 1 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0
 0 1 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 0 1 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0
 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 0
 0 1 0 1 1 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1 1 1 1
 0 0 1 1 1 0 1 0 1 0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 1 1 0 1 0 1 1 1 0 1 0 1 1
 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 0
 1 1 0 1 0 1 0 1 0 0 1 0 0 0 1 1 0 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 0 0 0 0 0
 1 1 0 1 1 1 1 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 0 1
 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 1 1 1 0 1 1 0 0
 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 0 0 1 1 1 0 1 1 0 1 1 1 1 1 0 0 1 1 0 1 0
 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 1 0 1 1 1
 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 1 1]",,0.0795392367204457
SonyAIBORobotSurface2_1,"[0 0 1 0 1 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1 0 1 1 0 0
 0 0 1 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 0 1 0 1 1 0 0 0 1
 0 0 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 1 1 0 1 1 0 1 0 1
 0 0 0 1 1 1 0 1 0 0 0 0 1 1 1 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 0
 1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 1 0 0 0 0 1 0
 0 1 0 0 0 0 0 1 0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 0 1 0 1 1 1 0 0 0 0 1 1 1 0
 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1 0 1 1 1 1 0 1 1 0 0 0 0 0 0
 0 1 1 1 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 1 1 1 1 0 0
 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0 1 0 1 1 0 0
 1 0 1 0 0 0 1 1 1 1 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0
 1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 1
 1 1 1 0 0 1 1 0 1 1 1 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 1
 0 1 0 0 0 0 1 1 0 1 0 1 1 0 1 0 0 0 0 1 0 0 1 1 0 1 1 1 1 0 0 0 0 0 1 0 1
 1 0 1 0 0 0 1 1 0 1 0 1 1 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 1
 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 0
 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 1 1 0 0 1 1 0 1 0 1 0 1 0
 0 1 1 0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1 0 0 1 1 0 1
 1 0 0 0 0 1 1 0 0 0 1 0 0 1 1 1 0 0 1 0 1 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 0
 1 0 0 0 1 1 0 1 0 0 1 1 0 0 1 1 0 1 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1
 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 0 1 0 1 0 0 1 0 1 1
 1 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0
 1 1 1 0 1 1 1 0 0 0 0 0 1 1 0 1 1 0 0 0 1 0 1 1 0 1 1 0 0 1 1 0 0 0 0 1 0
 1 0 0 0 1 1 1 1 0 0 1 1 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 1 0
 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0
 0 0 0 0 1 0 1 1 0 1 1 0 1 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 1 0 1 1
 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1]",,0.38048901554804826
Strawberry_1,"[1 0 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 1 0 1 1 0 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 1 1 1 1 1
 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 0 1 1 0 1
 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 1 0 1 1 1 0 1 1 0 1 0 1 1 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]",,-0.018415681
SwedishLeaf_1,[0 7 2 ... 5 1 3],,0.38808179153992484
Symbols_1,[5 1 1 ... 2 0 1],,0.9341254127577916
